,precision,recall,f1-score,support
0,0.8360655737704918,0.85,0.8429752066115702,60.0
1,0.6896551724137931,0.6666666666666666,0.6779661016949152,30.0
accuracy,0.7888888888888889,0.7888888888888889,0.7888888888888889,0.7888888888888889
macro avg,0.7628603730921425,0.7583333333333333,0.7604706541532427,90.0
weighted avg,0.7872621066515924,0.7888888888888889,0.7879721716393518,90.0
