,precision,recall,f1-score,support
0,0.7727272727272727,0.9714285714285714,0.8607594936708861,35.0
1,0.9375,0.6,0.7317073170731707,25.0
accuracy,0.8166666666666667,0.8166666666666667,0.8166666666666667,0.8166666666666667
macro avg,0.8551136363636364,0.7857142857142857,0.7962334053720284,60.0
weighted avg,0.8413825757575758,0.8166666666666667,0.806987753421838,60.0
