,precision,recall,f1-score,support
0,0.7435897435897436,0.8285714285714286,0.7837837837837838,35.0
1,0.7142857142857143,0.6,0.6521739130434783,25.0
accuracy,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.7333333333333333
macro avg,0.728937728937729,0.7142857142857143,0.717978848413631,60.0
weighted avg,0.7313797313797313,0.7333333333333333,0.7289463376419898,60.0
